instnm,pct_airea_completions
Central Arizona College,0.15622435020519837
Gaston College,0.15518285299103898
Quinebaug Valley Community College,0.15516721904188008
Heartland Community College,0.15489559936777306
Central Oregon Community College,0.15486246480398527
Imperial Valley College,0.15443117783819993
Southeastern Community College,0.15408495494813357
Santa Barbara City College,0.15319105062377564
Skagit Valley College,0.1525562932037506
Southwestern Community College,0.15253966988278445
Dawson Community College,0.15242881072026798
Asheville-Buncombe Technical Community College,0.15222297449785602
Itawamba Community College,0.1519179642992784
Midlands Technical College,0.15181464679196371
Northeast Mississippi Community College,0.1513422109490594
Hopkinsville Community College,0.1513167061446287
South Puget Sound Community College,0.1509711114738045
Danville Area Community College,0.15092329545454547
Midland College,0.1506818937797982
Mid-Plains Community College,0.15025186729199236
South Texas College,0.1498839570641137
South Plains College,0.14963383976390862
Des Moines Area Community College,0.1495887323943662
Chabot College,0.14915850288872146
Barstow Community College,0.14741244119184527
College of Southern Nevada,0.14704615672689822
Riverside City College,0.14674549049675154
Iowa Central Community College,0.14542131714640036
Cerritos College,0.1445222890445781
Bladen Community College,0.14415011037527595
Three Rivers Community College,0.1437335670464505
Folsom Lake College,0.1435598567074801
Rogue Community College,0.1432377876463464
State Fair Community College,0.14307581487484242
Coahoma Community College,0.14237012987012987
Clovis Community College,0.1422977253095307
George C Wallace State Community College-Hanceville,0.14205647768915716
Ventura College,0.14177105390718675
Hagerstown Community College,0.14170649672508406
College of the Sequoias,0.14169114001296768
Miles Community College,0.14147176269252712
Bakersfield College,0.14062257714374318
South Suburban College,0.14061254696572922
River Valley Community College,0.14019272614236863
Macomb Community College,0.1401844720201588
City College of San Francisco,0.1401326897010915
Crafton Hills College,0.1400425230333097
Manchester Community College,0.139947875628826
East Arkansas Community College,0.13981300282670148
Ozarks Technical Community College,0.1394030643875653
Westmoreland County Community College,0.1391565732472814
Middlesex College,0.13889652644120612
Nicolet Area Technical College,0.13889282174713294
Forsyth Technical Community College,0.1387797604960477
Los Angeles Harbor College,0.13808856121941293
William Rainey Harper College,0.1376099434281703
Madisonville Community College,0.1372816790052469
Moorpark College,0.1372304679676895
Otero College,0.13702984283948436
Palo Verde College,0.13700564971751414
J Sargeant Reynolds Community College,0.13655856984532355
Southside Virginia Community College,0.13565288025451838
Wenatchee Valley College,0.1356510833971992
Santa Rosa Junior College,0.13545703304177276
Kalamazoo Valley Community College,0.13517809832204886
Klamath Community College,0.13497562227354376
University of New Mexico-Valencia County Campus,0.13495327102803736
East Central Community College,0.13486611523902986
Lassen Community College,0.13475597707962853
Northwest Mississippi Community College,0.13466787989080983
Coffeyville Community College,0.1344747081712062
Central Virginia Community College,0.13404174573055028
Blue Mountain Community College,0.1338766006984866
Orange Coast College,0.13350062247121072
Finger Lakes Community College,0.1331578947368421
Pikes Peak State College,0.1328553952945862
Central Wyoming College,0.13282732447817835
University of New Mexico-Gallup Campus,0.13279955825510767
Kirkwood Community College,0.13256572871128625
McDowell Technical Community College,0.13252656434474616
Massasoit Community College,0.13230601603237604
Tyler Junior College,0.13226599348966983
Iowa Western Community College,0.13218543046357617
Butte College,0.13197467352592007
Columbia Gorge Community College,0.13189683317009468
College of the Desert,0.13174389315212937
Oxnard College,0.1316361838853188
Cisco College,0.13147537496011064
North Idaho College,0.13146224024328437
Grayson College,0.1310525589736515
College of DuPage,0.1306271642939592
Mott Community College,0.13035318205084456
Gateway Technical College,0.13020260719334065
Austin Community College District,0.1301347226812341
East Central College,0.1298719376391982
York County Community College,0.12965722801788376
Washtenaw Community College,0.12939974684106503
Lenoir Community College,0.12928416485900215
Hutchinson Community College,0.1290104947526237
Vance-Granville Community College,0.12836297309621522
Illinois Central College,0.12832317761227716
Portland Community College,0.12829878405515233
Brunswick Community College,0.1278409090909091
Glen Oaks Community College,0.1273015873015873
Mountain Empire Community College,0.12696563774024464
