county,CZ,cz_label
51171,546,"Harrisonburg, VA"
53073,561,"Seattle, WA"
53067,561,"Seattle, WA"
53033,561,"Seattle, WA"
53075,137,"Lewiston, ID & Pullman, WA"
53031,560,"Port Angeles, WA"
53065,135,"Spokane, WA"
54063,567,"Beckley, WV"
54073,430,"Parkersburg, WV"
54095,422,"Wheeling, WV"
54047,548,"Bluefield, WV"
54025,567,"Beckley, WV"
54027,551,"Winchester, VA"
54071,251,"Cumberland, MD"
55003,570,"Ashland, WI"
55011,296,"Eau Claire, WI"
4007,35,"Phoenix, AZ"
5023,47,"Heber Springs, AR"
5069,40,"Pine Bluff, AR"
5029,49,"Little Rock, AR"
5117,39,"Forrest City, AR"
5057,45,"Hot Springs, AR"
5067,53,"Searcy, AR"
5039,44,"El Dorado, AR"
6039,64,"Fresno, CA"
6047,60,"Stockton, CA & Modesto, CA"
6103,61,"Redding, CA & Chico, CA"
6115,62,"Sacramento, CA"
6043,64,"Fresno, CA"
8053,82,"Gunnison, CO"
8033,74,"Farmington, NM"
12001,92,"Gainesville, FL"
12073,103,"Tallahassee, FL"
12093,99,"Cape Coral, FL"
12013,94,"Panama City, FL"
12007,93,"Jacksonville, FL"
12023,92,"Gainesville, FL"
13089,117,"Atlanta, GA"
13139,109,"Gainesville, GA"
13153,113,"Macon, GA & Warner Robins, GA"
13137,109,"Gainesville, GA"
13157,109,"Gainesville, GA"
13279,121,"Dublin, GA"
13013,109,"Gainesville, GA"
13269,7,"Columbus, GA"
13113,117,"Atlanta, GA"
48455,498,"Lufkin, TX"
48015,501,"Houston, TX"
48035,504,"Killeen, TX"
48001,497,"Tyler, TX"
48119,516,"Greenville, TX & Paris, TX"
48469,511,"Victoria, TX"
48411,502,"Austin, TX"
48459,526,"Longview, TX"
48083,510,"Stephenville, TX & Brownwood, TX"
48153,508,"Plainview, TX"
48471,501,"Houston, TX"
48477,506,"College Station, TX"
48335,520,"Sweetwater, TX"
48343,55,"Texarkana, TX"
48263,503,"Snyder, TX"
48011,500,"Amarillo, TX"
21153,236,"Pikeville, KY"
